,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,464.89495396614075,2.9776616843681896,0.0875964641571045,0.011054687819323521,0.01,5,200,1,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'reg_alpha': 1}",-0.3967198610245029,-0.3988515661398231,-0.4044919627172343,-0.3966488300676674,-0.3945464805568955,-0.3982517401012246,0.00340426473547983,42,-0.3944702822562976,-0.39276734724551526,-0.392493070830793,-0.3949261651702098,-0.3945051548212667,-0.39383240406481645,0.0009983942170548254
12,331.35132932662964,10.771033245284501,0.07446756362915039,0.01230417420323745,0.01,7,100,0.01,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'reg_alpha': 0.01}",-0.4472807421722451,-0.4505636502952648,-0.45341959219816025,-0.4478853131420406,-0.44697479609507756,-0.44922481878055764,0.0024505062803257755,46,-0.43838275311035824,-0.43849718167084994,-0.43682244915483964,-0.43986631040933044,-0.43865300849900923,-0.43844434056887743,0.0009698100317337896
13,324.95242085456846,2.903982239531437,0.09006381034851074,0.004958437317400096,0.01,7,100,0.1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'reg_alpha': 0.1}",-0.44730574668506673,-0.4506818478947209,-0.45347319841526484,-0.44800674689823544,-0.447018457650083,-0.4492971995086742,0.002456828637384621,47,-0.4384939843571275,-0.4385643638712918,-0.436996534393885,-0.44006321177774044,-0.4387745702008485,-0.4385785329201786,0.0009749636387228973
14,323.0245344161987,5.140397065062817,0.08989648818969727,0.011648350238738357,0.01,7,100,1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'reg_alpha': 1}",-0.44772828390207786,-0.45104171525522824,-0.45391076597483115,-0.44834273133397684,-0.44715360533850423,-0.44963542036092374,0.002518883309987166,48,-0.43946794278693274,-0.4395738273838449,-0.4378822810918794,-0.4408377270064733,-0.4398136541933537,-0.4395150864924968,0.0009497628228966483
15,656.8752717971802,7.9100945339963795,0.09850444793701171,0.010916116272737277,0.01,7,200,0.01,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'reg_alpha': 0.01}",-0.3829774006673176,-0.3863865418468566,-0.39047734803617834,-0.38310810158693986,-0.3812071381234108,-0.38483130605214066,0.0032813881344053147,37,-0.36517683248515864,-0.3645497234697295,-0.36338433823418853,-0.36771394543393976,-0.3656357377433193,-0.3652921154732672,0.0014274023028633216
16,657.3228035449981,9.554778074867158,0.09572901725769042,0.016007847586867303,0.01,7,200,0.1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'reg_alpha': 0.1}",-0.3829036116276352,-0.38639019683264114,-0.39057042240293594,-0.383059470468417,-0.38124327244418926,-0.3848333947551637,0.0033195471812252062,38,-0.36526477982338346,-0.36476363284152513,-0.3636632124484635,-0.3679504316868659,-0.3658148193143751,-0.36549137522292263,0.0014194864107732277
17,651.8278692722321,13.171224629430462,0.0941861629486084,0.01084920040269319,0.01,7,200,1,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'reg_alpha': 1}",-0.38305482742882513,-0.3865950986052014,-0.39085267356582976,-0.3833487897626002,-0.3815496593132802,-0.38508020973514734,0.0033220777189763287,39,-0.3667546171827928,-0.36597451760450883,-0.36472615416503834,-0.3691525138031685,-0.36744048073566565,-0.36680965669823484,0.001478403722959627
18,142.85618119239808,1.9140463015829101,0.0843130111694336,0.009887780058581862,0.1,3,100,0.01,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.01}",-0.35707122855391527,-0.36252263531367634,-0.36547502263324066,-0.357110521072685,-0.35457649602063146,-0.35935118071882977,0.004014372068735987,32,-0.3510950951036683,-0.35040194186619933,-0.34871009454847945,-0.35252939462932364,-0.35139101374271337,-0.3508255079780768,0.001260958836574047
19,143.0398409843445,2.3692079835135464,0.07995786666870117,0.009343042653177367,0.1,3,100,0.1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1}",-0.35607456668572124,-0.3620192857974372,-0.36587624936173635,-0.3563763141032141,-0.35544269732358136,-0.35915782265433804,0.0041078130958750935,31,-0.3508351550662989,-0.35012202442404605,-0.3491572889894927,-0.35214565460797337,-0.3520973581453541,-0.35087149624663305,0.0011513255090704734
20,142.01920013427736,0.5984751064386246,0.07393202781677247,0.009181717755861516,0.1,3,100,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 1}",-0.3566887856158081,-0.3627104547346463,-0.3654246968949178,-0.35688058941687184,-0.35523437155388016,-0.3593877796432248,0.00395742113035057,33,-0.35124887110206016,-0.35060431370413225,-0.3489925301182181,-0.35267682479901863,-0.3521805518651768,-0.3511406183177212,0.0012926729171002355
